Audio,Darwin,Josefina,Richard,Sayuri
10159,5,5,5,4
10160,3,5,4,2
10161,3,2,1,1
10162,5,5,5,1
10163,4,4,2,4
10164,3,5,4,4
10165,4,4,2,4
10166,2,2,2,2
10167,3,3,2,2
10168,3,2,1,4
10169,2,3,1,3
10170,2,2,1,4
10171,3,4,2,3
10172,4,5,4,2
10173,3,3,1,2
10174,4,5,2,4
10175,3,3,4,3
10176,4,4,1,2
10177,4,2,2,4
10178,5,5,5,2
10179,4,3,1,4
10180,3,3,1,3
10181,5,5,5,4
10182,3,5,1,3
10183,3,5,4,2
10184,2,3,1,2
10185,3,5,5,1
10186,3,2,1,4
10187,4,3,2,1
10188,3,3,1,5
10189,3,4,1,4
10190,4,5,5,2
10191,3,2,1,4
10192,5,5,5,4
10193,3,3,2,2
10194,4,5,2,4
10195,3,2,1,4
10196,2,3,1,1
10197,3,2,1,2
10198,4,2,1,1
10199,5,5,5,1
10200,3,2,1,4
10201,2,4,1,2
10202,4,5,1,2
10203,4,3,4,4
10204,2,1,1,3
10205,2,2,1,1
10206,3,2,4,4
10207,3,3,2,2
10208,5,5,1,2
10209,3,3,4,4
10210,4,3,2,4
10211,3,4,1,3
10212,4,5,2,1
10213,3,2,1,5
10214,4,4,4,4
10215,2,1,1,4
10216,3,4,1,5
10217,2,1,1,2
10218,4,3,2,3
10219,2,4,2,2
10220,4,5,4,2
10221,3,5,2,1
10222,3,2,1,4
10223,4,4,2,4
10224,3,1,2,4
10225,2,5,4,1
10226,3,2,1,2
10227,3,2,2,1
10228,3,5,2,4
10229,3,3,4,1
10230,3,3,2,1
10231,2,3,1,2
10232,5,5,5,2
10233,4,4,4,1
10234,4,5,5,2
10235,4,5,4,5
10236,3,1,1,1
10237,3,2,1,2
10238,3,5,5,1
10239,4,5,4,1
10240,3,5,4,2
10241,2,2,2,2
10242,4,5,5,1
10243,4,4,2,2
10244,2,1,2,2
10245,4,5,2,2
10246,2,2,1,1
10247,4,4,4,2
10248,3,4,1,2
10249,4,4,2,4
10250,4,4,2,3
10251,3,2,1,2
10252,2,3,2,2
10253,4,5,2,3
10254,3,3,1,4
10255,3,3,2,5
10256,4,4,2,4
10257,4,5,5,3
10258,4,5,4,2
10259,4,4,4,1
10260,2,2,1,2
10261,3,5,4,4
10262,2,1,1,4
10263,3,3,1,3
10264,2,2,1,3
10265,4,3,1,4
10266,3,3,1,4
10267,4,4,2,4
10268,4,5,5,2
10269,4,4,2,4
10270,4,4,2,4
10271,3,3,2,3
10272,5,5,5,4
10273,4,5,2,4
10274,3,5,5,5
10275,2,1,1,5
10276,3,5,2,4
10277,4,4,2,1
10278,3,5,2,4
10279,3,3,2,3
10280,3,4,2,1
10281,2,1,1,3
10282,4,4,2,2
10283,3,3,2,4
10284,2,4,1,2
10285,3,3,1,1
10286,3,2,1,1
10287,2,1,1,4
10288,4,4,4,4
10289,5,5,5,4
10290,5,5,5,2
10291,4,5,2,2
10292,3,4,2,4
10293,3,4,2,3
10294,3,3,2,4
10295,3,5,5,3
10296,2,4,1,2
10297,3,3,2,2
10298,2,3,1,4
10299,3,3,1,3
10300,4,4,2,2
10301,4,5,5,4
10302,3,2,2,2
10303,3,4,1,4
10304,2,3,2,3
10305,2,2,1,4
10306,4,4,2,3
10307,2,2,1,2
10308,4,5,5,2
10309,3,3,1,1
10310,4,5,4,4
10311,3,3,2,1
10312,3,3,2,5
10313,2,1,1,4
10314,4,4,2,2
10315,4,4,2,4
10316,2,2,2,4
10317,3,3,2,2
10318,3,4,4,4
10319,3,2,2,4
10320,3,2,4,1
10321,3,3,4,2
10322,4,5,5,1
10323,5,5,5,1
10324,4,5,5,4
10325,3,3,1,2
10326,4,5,5,2
10327,4,5,5,4
10328,2,2,1,3
10329,4,4,1,1
10330,4,4,2,4
10331,3,3,1,2
10332,4,5,4,2
10333,5,5,5,4
10334,4,4,2,4
10335,2,3,1,3
10336,2,2,1,1
10337,3,3,1,5
10338,3,3,1,4
10339,4,4,1,4
10340,2,2,1,5
10341,5,5,2,2
10342,2,1,1,3
10343,5,5,5,2
10344,4,5,2,2
10345,2,3,2,1
10346,3,3,2,4
10347,3,2,1,4
10348,3,3,2,4
10349,2,3,2,1
10350,4,5,4,2
10351,4,5,5,1
10352,4,5,4,4
10353,4,4,2,1
10354,4,5,5,1
10355,4,4,2,2
10356,4,5,4,2
10357,4,5,4,1
10358,2,1,1,2
10359,3,5,4,5
10360,4,5,5,1
10361,3,2,2,2
10362,3,5,4,1
10363,4,4,2,1
10364,5,5,5,2
10365,4,4,2,2
10366,3,5,4,1
10367,3,4,2,2
10368,4,5,4,2
10369,5,5,5,2
10370,5,5,5,1
10371,3,3,1,2
10372,4,5,2,2
10373,4,5,1,4
10374,3,2,1,3
10375,3,5,2,2
10376,3,1,1,2
10377,2,1,1,3
10378,4,5,2,4
10379,4,5,4,5
10380,5,5,5,4
10381,2,2,1,3
10382,4,5,4,2
10383,2,3,2,1
10384,2,3,1,2
10385,3,3,5,4
10386,4,4,1,4
10387,3,3,1,3
10388,5,5,5,3
10389,2,1,1,4
10390,2,3,1,4
10391,5,5,5,4
10392,2,3,1,2
10393,3,3,1,4
10394,4,5,4,4
10395,4,5,4,3
10396,4,5,4,4
10397,4,4,2,4
10398,4,5,4,5
10399,3,3,1,5
10400,2,1,1,4
10401,3,3,1,1
10402,3,3,2,4
10403,5,5,5,3
10404,2,3,1,1
10405,2,3,2,3
10406,4,5,4,2
10407,4,4,1,4
10408,3,3,1,2
10409,2,3,4,1
10410,3,5,2,1
10411,3,3,1,4
10412,3,1,1,4
10413,3,5,5,4
10414,4,5,1,2
10415,5,5,5,2
10416,3,2,1,4
10417,4,5,1,3
10418,4,5,2,4
10419,3,4,4,3
10420,2,1,1,2
10421,4,5,2,2
10422,3,3,4,4
10423,4,5,5,3
10424,3,3,1,2
10425,2,3,1,4
10426,3,5,4,2
10427,2,2,1,4
10428,3,3,1,3
10429,3,3,2,4
10430,4,5,5,3
10431,4,5,2,2
10432,2,2,2,2
10433,4,5,4,1
10434,2,2,1,4
10435,2,4,1,1
10436,2,2,1,5
10437,2,2,1,4
10438,4,4,2,2
10439,3,2,1,4
10440,3,2,1,4
10441,4,5,1,2
10442,3,4,4,4
10443,3,2,1,4
10444,4,5,5,1
10445,4,5,5,2
10446,4,5,4,1
10447,3,5,5,1
10448,4,5,5,4
10449,4,5,4,2
10450,4,5,2,2
10451,2,2,1,4
10452,5,5,4,3
10453,2,2,1,1
10454,5,5,5,4
10455,4,3,4,2
10456,3,5,5,2
10457,4,3,1,4
10458,4,5,2,4
10459,3,4,2,3
10460,2,3,1,1
10461,3,3,2,5
10462,3,2,1,4
10463,3,5,2,4
10464,3,5,4,5
10465,4,4,2,2
10466,4,4,2,3
10467,4,4,2,2
10468,2,3,1,2
10469,3,5,5,1
10470,2,3,1,4
10471,4,5,5,4
10472,3,3,4,4
10473,2,2,1,1
10474,4,4,2,2
10475,3,2,4,1
10476,3,4,4,4
10477,4,5,5,1
10478,2,1,1,1
10479,4,4,2,2
10480,4,4,2,2
10481,5,5,5,1
10482,1,3,1,2
10483,2,4,1,5
10484,4,3,2,1
10485,4,3,2,2
10486,3,3,1,1
10487,4,5,2,1
10488,3,2,2,2
10489,3,3,2,2
10490,2,2,1,1
10491,3,5,4,2
10492,4,5,5,2
10493,3,2,4,2
10494,2,2,1,1
10495,4,3,2,2
10496,3,2,2,2
10497,4,5,1,4
10498,4,5,5,3
10499,4,5,5,2
10500,5,5,5,2
10501,2,3,2,3
10502,2,2,1,4
10503,3,2,1,5
10504,4,5,5,4
10505,4,5,1,3
10506,2,2,5,2
10507,4,5,2,1
10508,4,5,2,2
10509,3,5,2,4
10510,3,3,2,4
10511,2,3,1,3
10512,2,2,5,3
10513,4,5,5,4
10514,4,5,5,4
10515,4,5,1,4
10516,2,3,2,2
10517,3,3,1,4
10518,3,3,1,4
10519,3,3,1,3
10520,2,2,1,4
10521,2,1,1,4
10522,4,4,4,5
10523,4,5,1,5
10524,3,3,1,4
10525,3,3,2,1
10526,3,2,1,4
10527,1,2,1,3
10528,3,3,1,1
10529,4,5,5,3
10530,4,4,4,2
10531,3,5,2,4
10532,3,3,1,2
10533,3,4,1,1
10534,3,4,2,1
10535,2,2,1,4
10536,4,5,5,4
10537,5,5,5,4
10538,3,3,2,2
10539,3,3,5,2
10540,3,3,1,4
10541,2,2,1,3
10542,3,3,4,4
10543,3,3,1,3
10544,3,1,1,2
10545,2,1,1,2
10546,4,5,4,4
10547,3,2,1,3
10548,4,4,2,2
10549,2,2,1,4
10550,3,4,2,2
10551,4,5,5,4
10552,3,4,1,3
10553,3,3,1,4
10554,4,5,5,3
10555,5,5,5,2
10556,4,5,5,2
10557,4,4,2,1
10558,3,2,1,4
10559,2,2,1,1
10560,3,1,1,5
10561,4,5,5,4
10562,4,5,5,2
10563,2,2,1,4
10564,4,3,1,4
10565,3,3,1,2
10566,3,3,1,4
10567,3,4,1,4
10568,4,3,5,1
10569,3,3,4,2
10570,3,3,1,1
10571,4,4,1,1
10572,2,4,1,4
10573,3,3,2,2
10574,3,3,4,2
10575,3,5,5,4
10576,4,5,5,3
10577,3,5,1,1
10578,3,3,2,4
10579,2,1,1,2
10580,2,2,1,2
10581,3,4,4,4
10582,4,4,1,4
10583,3,3,1,3
10584,4,4,2,1
10585,4,4,2,5
10586,2,3,2,4
10587,4,3,2,4
10588,4,5,5,5
10589,2,2,1,2
10590,3,3,1,3
10591,3,3,1,2
10592,2,4,1,2
10593,1,3,1,1
10594,3,3,1,4
10595,4,5,5,4
10596,4,5,5,4
10597,4,5,4,1
10598,3,2,1,2
10599,4,4,1,1
10600,3,4,1,4
10601,2,1,1,1
10602,3,1,1,1
10603,3,2,1,2
10604,4,2,1,2
10605,4,5,5,1
10606,3,1,1,2
10607,2,2,1,5
10608,3,4,4,1
10609,2,2,1,2
10610,4,5,2,1
10611,4,5,2,1
10612,4,4,1,2
10613,3,3,1,2
10614,2,2,1,1
10615,3,3,1,2
10616,4,5,5,2
10617,5,5,5,2
10618,2,2,1,1
10619,2,3,1,2
10620,2,2,5,2
10621,5,5,5,4
10622,4,5,5,3
10623,4,4,1,2
10624,4,5,5,2
10625,3,3,1,3
10626,3,3,1,4
10627,4,3,4,5
10628,4,4,2,4
10629,3,4,1,3
10630,4,5,5,2
10631,4,5,1,1
10632,4,4,5,2
10633,4,5,5,4
10634,3,3,1,4
10635,3,1,1,3
10636,4,3,1,3
10637,3,4,1,4
10638,3,5,5,4
10639,3,5,5,4
10640,4,4,2,2
10641,4,5,5,4
10642,3,3,1,4
10643,4,5,5,3
10644,4,5,5,4
10645,4,5,1,4
10646,4,3,2,5
10647,3,5,2,5
10648,4,3,2,4
10649,2,2,1,1
10650,3,2,1,4
10651,4,5,2,3
10652,4,2,1,1
10653,4,3,1,3
10654,2,2,1,2
10655,2,2,1,4
10656,4,2,1,2
10657,3,3,1,1
10658,2,2,1,1
10659,3,3,1,4
10660,4,3,2,4
10661,3,3,4,4
10662,2,2,1,2
10663,4,4,2,2
10664,3,3,2,4
10665,3,3,1,3
10666,4,4,5,4
10667,3,2,1,3
10668,5,5,5,2
10669,4,4,2,2
10670,4,4,2,4
10671,4,3,2,3
10672,4,5,5,2
10673,5,5,5,4
10674,3,2,1,2
10675,2,2,1,4
10676,3,1,1,3
10677,3,1,1,4
10678,5,5,5,3
10679,3,2,1,2
10680,3,3,4,2
10681,4,5,5,1
10682,4,5,5,4
10683,4,5,4,1
10684,4,5,1,5
10685,4,5,1,4
10686,5,5,1,2
10687,2,1,1,4
10688,3,3,1,4
10689,3,3,2,2
10690,5,5,5,4
10691,4,5,5,4
10692,4,4,1,1
10693,3,3,1,2
10694,3,5,5,1
10695,3,5,2,1
10696,2,3,1,4
10697,3,2,1,2
10698,5,5,5,2
10699,4,4,2,4
10700,4,5,5,3
10701,2,1,1,1
10702,2,1,1,4
10703,4,5,5,2
10704,4,5,5,2
10705,2,2,1,4
10706,3,2,1,4
10707,3,3,2,3
10708,4,5,2,1
10709,2,1,1,5
10710,4,5,5,4
10711,4,5,4,4
10712,3,1,1,5
10713,2,3,2,2
10714,4,5,5,3
10715,2,3,2,2
10716,4,5,2,2
10717,4,5,5,1
10718,2,1,1,4
10719,4,5,2,4
10720,2,2,1,4
10721,4,5,5,1
10722,4,5,2,2
10723,2,2,1,1
10724,2,2,1,4
10725,4,5,4,1
10726,3,3,4,1
10727,3,2,1,2
10728,4,5,2,2
10729,4,5,1,1
10730,4,5,1,2
10731,2,2,1,5
10732,3,3,1,1
10733,4,5,4,2
10734,3,5,4,1
10735,3,1,1,1
10736,4,5,2,2
10737,3,2,2,2
10738,3,1,1,1
10739,5,5,5,2
10740,3,4,1,2
10741,4,5,5,2
10742,4,5,4,1
10743,5,5,5,2
10744,2,2,1,2
10745,4,4,5,4
10746,3,2,1,3
10747,3,3,1,2
10748,3,4,1,2
10749,3,5,2,3
10750,3,4,2,4
10751,2,1,1,5
10752,3,4,4,4
10753,4,4,1,3
10754,4,4,2,2
10755,4,5,5,1
10756,2,2,1,2
10757,4,4,5,4
10758,3,3,4,4
10759,2,2,1,3
10760,3,1,1,3
10761,4,5,2,4
10762,4,4,4,4
10763,4,2,1,4
10764,4,4,1,2
10765,3,2,1,4
10766,1,4,1,4
10767,3,3,1,3
10768,2,1,1,4
10769,5,5,5,4
10770,4,5,5,5
10771,3,4,1,5
10772,4,5,2,4
10773,4,5,2,1
10774,3,2,1,4
10775,4,4,2,3
10776,3,3,1,1
10777,5,5,1,3
10778,4,2,4,2
10779,3,4,2,4
10780,4,5,5,2
10781,2,2,1,1
10782,3,5,2,1
10783,2,1,1,4
10784,2,1,1,4
10785,3,3,2,4
10786,4,4,2,2
10787,5,4,2,2
10788,5,5,5,4
10789,2,3,4,3
10790,4,5,5,4
10791,3,3,2,3
10792,3,4,5,2
10793,3,4,4,2
10794,3,2,2,4
10795,3,3,1,3
10796,4,4,2,2
10797,3,4,2,4
10798,2,2,1,2
10799,1,2,1,4
10800,3,2,4,3
10801,5,5,5,4
10802,4,4,5,3
10803,4,4,2,2
10804,3,2,1,2
10805,5,5,5,1
10806,3,1,1,4
10807,4,4,1,1
10808,2,1,1,5
10809,5,5,5,4
10810,5,5,5,2
10811,2,1,1,4
10812,2,3,1,4
10813,5,5,5,2
10814,2,2,1,4
10815,2,3,1,4
10816,5,4,4,1
10817,2,2,2,2
10818,4,5,5,1
10819,2,2,1,1
10820,2,1,1,4
10821,4,5,5,2
10822,4,5,2,2
10823,3,2,1,4
10824,2,3,4,3
10825,5,5,5,1
10826,3,3,1,4
10827,4,5,5,2
10828,3,1,1,2
10829,5,5,5,4
10830,5,5,5,4
10831,4,4,1,3
10832,5,5,5,1
10833,3,4,2,5
10834,5,5,5,4
10835,4,5,1,4
10836,2,2,2,5
10837,2,4,1,2
10838,2,2,5,3
10839,4,5,1,2
10840,2,2,1,2
10841,2,1,1,1
10842,4,5,1,4
10843,3,3,1,4
10844,3,2,1,4
10845,4,5,2,1
10846,4,4,2,2
10847,3,3,2,1
10848,2,2,1,4
10849,3,2,1,1
10850,2,2,1,1
10851,2,2,1,2
10852,4,4,2,2
10853,5,5,5,1
10854,3,3,4,2
10855,2,2,1,5
10856,4,5,4,1
10857,2,3,2,2
10858,4,4,5,1
10859,2,2,1,1
10860,5,5,5,2
10861,2,2,4,2
10862,3,1,1,1
10863,5,5,2,2
10864,4,4,5,2
10865,4,5,5,2
10866,5,5,5,1
10867,2,1,1,2
10868,4,4,2,2
10869,2,3,2,4
10870,4,4,1,2
10871,3,2,2,4
10872,5,5,5,3
10873,3,2,1,4
10874,5,5,5,3
10875,2,2,1,2
10876,5,5,5,2
10877,4,2,2,4
10878,4,5,5,3
10879,4,5,1,2
10880,5,5,5,4
10881,3,4,1,2
10882,3,2,1,4
10883,2,2,1,3
10884,5,5,5,4
10885,4,2,1,3
10886,4,2,4,2
10887,3,4,1,2
10888,4,2,1,1
10889,4,5,1,4
10890,4,5,5,1
10891,2,4,1,5
10892,2,3,1,4
10893,4,2,1,2
10894,4,4,2,4
10895,2,2,1,4
10896,2,2,1,2
10897,5,5,5,4
10898,3,2,1,4
10899,2,1,1,1
10900,5,5,5,2
10901,2,2,1,1
10902,4,4,1,1
10903,4,4,1,4
10904,3,2,1,2
10905,3,4,2,2
10906,4,4,2,4
10907,2,2,1,3
10908,4,5,1,1
10909,4,5,1,4
10910,4,4,2,2
10911,3,5,4,2
10912,2,2,1,4
10913,4,5,5,4
10914,3,4,1,3
10915,3,2,1,1
10916,3,4,1,5
10917,5,5,1,4
10918,2,2,4,4
10919,3,2,1,5
10920,3,3,1,2
10921,3,5,2,3
10922,5,5,5,2
10923,3,3,4,2
10924,3,2,4,1
10925,4,4,2,4
10926,4,5,5,4
10927,2,1,1,4
10928,4,5,2,1
10929,5,4,2,2
10930,1,3,1,1
10931,3,3,2,4
10932,3,5,5,1
10933,3,2,2,1
10934,3,3,2,2
10935,4,5,2,2
10936,3,3,1,1
10937,4,5,2,2
10938,3,5,2,5
10939,3,5,2,1
10940,3,4,2,2
10941,3,3,3,1
10942,3,2,1,1
10943,2,2,1,2
10944,3,3,4,2
10945,3,4,1,1
10946,5,5,5,2
10947,4,5,5,2
10948,5,4,1,2
10949,2,1,1,1
10950,3,2,1,2
10951,2,2,1,2
10952,2,3,1,4
10953,3,2,4,2
10954,4,4,1,4
10955,3,2,4,3
10956,3,5,4,4
10957,2,1,1,3
10958,3,3,1,2
10959,4,5,5,2
10960,1,2,1,4
10961,2,2,1,3
10962,3,5,4,2
10963,3,5,4,4
10964,3,4,4,2
10965,4,4,2,4
10966,4,3,1,3
10967,4,4,1,4
10968,5,5,2,3
10969,3,2,1,2
10970,3,1,1,2
10971,4,5,5,1
10972,4,5,5,4
10973,3,5,5,1
10974,3,3,4,5
10975,3,2,1,4
10976,2,1,1,2
10977,3,5,4,4
10978,3,4,1,4
10979,3,4,1,2
10980,3,5,5,4
10981,3,2,1,4
10982,4,4,1,1
10983,4,5,5,2
10984,2,2,1,1
10985,5,5,2,1
10986,4,4,1,4
10987,3,5,1,2
10988,4,5,5,2
10989,2,3,1,4
10990,3,2,2,3
10991,4,4,1,1
10992,4,5,2,4
10993,3,1,1,2
10994,2,2,1,2
10995,4,4,1,4
10996,3,1,1,4
10997,3,5,5,3
10998,3,2,1,1
10999,2,2,1,5
11000,3,5,2,4
11001,4,5,2,4
11002,3,4,1,5
11003,4,5,5,2
11004,3,5,5,3
11005,2,5,4,2
11006,3,2,1,2
11007,3,2,5,1
11008,4,5,1,4
11009,4,4,4,4
11010,4,5,2,4
11011,3,4,3,1
11012,3,2,1,2
11013,4,5,5,1
11014,3,4,1,4
11015,2,2,1,1
11016,3,2,2,1
11017,2,2,1,2
11018,3,5,5,2
11019,3,5,1,1
11020,2,4,1,2
11021,3,2,1,5
11022,3,2,1,1
11023,3,2,1,2
11024,3,5,2,1
11025,3,3,2,1
11026,4,4,2,2
11027,4,4,2,2
11028,3,1,4,1
11029,2,1,1,2
11030,4,5,2,2
11031,3,4,1,2
11032,3,5,5,1
11033,3,4,2,2
11034,3,2,4,2
11035,3,3,4,4
11036,4,5,2,2
11037,4,4,1,4
11038,3,5,4,3
11039,3,4,1,4
11040,2,2,1,3
11041,4,5,5,2
11042,3,2,2,2
11043,3,5,5,4
11044,2,2,1,3
11045,4,5,5,2
11046,5,5,5,4
11047,3,3,3,2
11048,3,3,2,4
11049,2,3,1,3
11050,2,2,1,4
11051,3,2,1,3
11052,3,1,5,2
11053,5,5,5,2
11054,2,2,1,1
11055,3,4,2,4
11056,4,5,5,1
11057,4,5,4,5
11058,4,5,5,4
11059,3,2,1,2
11060,4,5,5,4
11061,3,5,5,4
11062,3,5,5,2
11063,3,4,2,4
11064,3,1,1,4
11065,3,2,1,1
11066,2,2,1,2
11067,4,5,5,1
11068,3,2,1,1
11069,4,5,1,4
11070,3,2,2,2
11071,5,5,5,2
11072,4,5,5,4
11073,3,5,4,3
11074,4,5,5,1
11075,3,2,2,4
11076,2,1,1,2
11077,3,5,5,2
11078,2,2,1,4
11079,3,4,2,4
11080,4,5,5,3
11081,3,4,1,1
11082,4,5,4,5
11083,5,5,4,4
11084,3,1,1,4
11085,4,5,1,5
11086,3,2,2,2
11087,3,3,4,3
11088,4,5,1,2
11089,5,5,5,2
11090,3,5,1,1
11091,3,5,4,4
11092,3,2,1,4
11093,2,2,1,4
11094,3,2,2,1
11095,3,2,1,2
11096,4,5,5,1
11097,2,1,1,4
11098,4,5,2,1
11099,2,2,1,1
11100,2,3,1,2
11101,3,2,1,2
11102,3,2,1,1
11103,3,5,4,2
11104,3,3,1,5
11105,2,4,2,1
11106,3,5,5,2
11107,3,3,1,1
11108,3,2,1,1
11109,4,5,4,2
11110,4,5,2,2
11111,3,2,1,1
11112,4,5,5,2
11113,2,1,1,2
11114,4,5,2,2
11115,3,2,1,1
11116,4,5,5,2
11117,3,1,1,2
11118,3,5,5,4
11119,3,4,2,2
11120,2,2,1,4
11121,2,2,1,3
11122,2,2,1,4
11123,4,5,5,3
11124,4,5,5,2
11125,4,5,5,2
11126,3,1,1,4
11127,3,4,1,3
11128,3,5,5,2
11129,3,5,2,4
11130,4,5,4,2
11131,3,4,4,4
11132,3,3,2,3
11133,3,5,2,4
11134,4,4,4,3
11135,3,4,2,2
11136,2,1,1,2
11137,2,1,1,1
11138,4,5,2,4
11139,1,2,1,1
11140,2,1,1,5
11141,4,5,5,4
11142,4,5,5,2
11143,3,3,1,4
11144,2,2,1,4
11145,2,2,1,2
11146,3,3,2,4
11147,3,2,1,4
11148,3,3,4,1
11149,2,3,2,2
11150,4,5,4,1
11151,3,5,1,1
11152,5,5,5,4
11153,3,5,5,2
11154,3,5,1,2
11155,3,5,5,4
11156,2,2,1,3
11157,2,2,1,1
11158,2,2,1,4
11159,5,5,5,2
11160,3,4,2,2
11161,4,5,4,4
11162,3,1,1,4
11163,2,2,1,3
11164,3,4,4,1
11165,3,3,1,5
11166,3,5,2,4
11167,2,2,2,4
11168,2,1,1,5
11169,4,4,1,2
11170,3,5,4,3
11171,2,2,2,2
11172,4,5,5,2
11173,2,3,1,1
11174,2,2,1,4
11175,2,2,1,4
11176,2,2,1,4
11177,5,5,5,1
11178,3,3,1,2
11179,3,2,1,1
11180,4,5,5,4
11181,4,5,5,1
11182,4,5,1,1
11183,4,5,4,2
11184,5,5,5,2
11185,3,5,2,1
11186,2,1,1,2
11187,4,5,2,5
11188,3,5,2,1
11189,4,4,2,2
11190,3,3,1,1
11191,3,2,5,1
11192,3,1,5,2
11193,2,2,5,2
11194,3,4,1,1
11195,2,3,3,2
11196,4,4,1,2
11197,4,4,5,2
11198,5,5,5,1
11199,3,2,5,2
11200,4,4,5,2
11201,3,4,1,4
11202,4,4,1,2
11203,2,2,1,4
11204,3,4,4,3
11205,2,2,1,4
11206,5,5,5,3
11207,4,4,1,2
11208,4,5,1,2
11209,2,2,1,4
11210,4,3,4,3
11211,4,3,1,2
11212,4,3,1,4
11213,2,1,1,2
11214,4,4,4,4
11215,4,5,2,3
11216,4,5,5,4
11217,4,5,2,3
11218,4,5,5,2
11219,4,3,2,2
11220,3,3,1,1
11221,4,5,5,4
11222,4,5,2,1
11223,2,2,1,5
11224,3,3,4,4
11225,2,3,1,2
11226,2,2,1,4
11227,5,5,5,4
11228,4,5,5,2
11229,2,1,1,4
11230,2,3,1,4
11231,3,2,2,1
11232,4,5,5,2
11233,4,5,1,1
11234,2,2,1,1
11235,3,2,1,4
11236,2,1,1,2
11237,2,1,1,2
11238,2,2,1,4
11239,3,3,5,3
11240,3,4,2,1
11241,4,5,1,4
11242,4,5,5,2
11243,4,3,4,2
11244,4,5,5,4
11245,4,3,5,4
11246,5,5,5,3
11247,2,3,4,1
11248,3,3,1,5
11249,4,5,1,4
11250,4,5,5,4
11251,4,5,4,5
11252,2,2,1,2
11253,3,4,1,3
11254,3,5,5,2
11255,2,2,1,2
11256,5,5,5,1
11257,4,5,4,4
11258,2,2,4,4
11259,5,5,5,4
11260,4,5,1,1
11261,4,4,1,2
11262,5,5,5,1
11263,4,4,1,4
11264,3,3,4,1
11265,4,5,4,1
11266,3,2,1,2
11267,4,5,5,2
11268,2,2,1,1
