Audio,Darwin,Josefina,Richard,Sayuri,N1,N2,N3,N4
10073,2,2,2,1,,,,
10074,2,2,5,2,,,,
10075,2,1,1,1,,,,
10076,3,2,5,2,,,,
10077,3,3,4,4,,,,
10078,2,1,1,1,,,,
10079,2,3,5,3,,,,
10080,3,2,5,1,,,,
10081,1,1,1,1,,,,
10082,2,3,5,5,,,,
10083,4,5,4,5,,,,
10084,3,4,5,4,,,,
10085,5,4,3,5,,,,
10086,3,3,3,3,,,,
10087,3,4,3,4,,,,
10088,3,2,5,5,,,,
10089,2,1,1,1,,,,
10090,3,4,5,5,,,,
10091,3,1,5,3,,,,
10092,3,4,5,5,,,,
10093,4,4,4,3,,,,
10094,3,2,4,3,,,,
10095,4,5,5,5,,,,
10096,1,5,1,1,,,,
10097,4,5,4,5,,,,
10098,2,1,1,1,,,,
10099,4,5,5,4,,,,
10100,3,1,5,5,,,,
10101,2,5,2,1,,,,
10102,2,1,2,1,,,,
10103,2,1,2,1,,,,
10104,4,4,5,4,,,,
10105,2,1,5,5,,,,
10106,3,1,1,1,,,,
10107,5,5,5,5,,,,
10108,3,3,3,3,,,,
10109,3,1,5,1,,,,
10110,1,1,1,5,,,,
10111,2,1,1,5,,,,
10112,4,5,2,4,,,,
10113,5,5,4,4,,,,
10114,4,2,4,5,,,,
10115,2,2,4,3,,,,
10116,4,3,5,5,,,,
10117,4,5,4,5,,,,
10118,3,3,3,3,,,,
10119,3,3,2,3,,,,
10120,2,1,3,2,,,,
10121,2,4,5,1,,,,
10122,4,1,5,5,,,,
10123,3,5,3,5,,,,
10124,2,1,2,2,,,,
10125,2,1,5,2,,,,
10126,4,5,4,2,,,,
10127,2,2,4,4,,,,
10128,4,5,4,4,,,,
10129,4,4,5,5,,,,
10130,2,3,4,5,,,,
10131,2,1,1,5,,,,
10132,3,3,5,5,,,,
10133,2,1,1,3,,,,
10134,2,1,1,4,,,,
10135,2,2,5,2,,,,
10136,2,3,2,4,,,,
10137,2,3,3,2,,,,
10138,2,5,5,4,,,,
10139,1,1,1,3,,,,
10140,2,1,1,3,,,,
10141,5,5,5,4,,,,
10142,3,3,5,5,,,,
10143,4,5,2,5,,,,
10144,2,2,5,1,,,,
10145,2,1,5,4,,,,
10146,3,3,5,2,,,,
10147,3,5,5,3,,,,
10148,3,3,5,2,,,,
10149,3,1,2,5,,,,
10150,2,3,3,1,,,,
10151,3,4,5,1,,,,
10152,2,1,1,5,,,,
10153,1,2,1,4,,,,
10154,2,1,1,5,,,,
10155,2,2,5,3,,,,
10156,3,3,5,4,,,,
10157,2,2,5,3,,,,
10158,2,1,5,5,,,,
10159,1,1,1,4,,,,
10160,3,1,1,5,,,,
10161,2,1,5,4,,,,
10162,1,1,1,5,,,,
10163,4,5,4,2,,,,
10164,3,1,2,5,,,,
10165,3,5,4,4,,,,
10166,3,4,4,2,,,,
10167,2,3,4,1,,,,
10168,3,2,5,5,,,,
10169,2,3,5,3,,,,
10170,2,2,5,5,,,,
10171,4,5,4,3,,,,
10172,2,1,2,5,,,,
10173,2,3,4,5,,,,
10174,5,4,5,4,,,,
10175,2,3,2,3,,,,
10176,4,4,5,1,,,,
10177,4,4,4,5,,,,
10178,1,1,1,4,,,,
10179,3,3,5,4,,,,
10180,4,3,5,3,,,,
10181,1,1,1,1,,,,
10182,3,4,5,4,,,,
10183,5,5,2,5,,,,
10184,1,3,5,4,,,,
10185,2,1,1,4,,,,
10186,4,2,5,1,,,,
10187,2,4,4,1,,,,
10188,4,4,5,2,,,,
10189,3,4,5,1,,,,
10190,2,1,1,4,,,,
10191,3,2,5,5,,,,
10192,1,1,1,2,,,,
10193,3,3,4,5,,,,
10194,5,5,5,5,,,,
10195,1,2,5,1,,,,
10196,3,3,5,5,,,,
10197,3,2,5,4,,,,
10198,4,1,5,1,,,,
10199,1,1,1,2,,,,
10200,2,2,5,1,,,,
10201,2,4,5,2,,,,
10202,4,1,4,4,,,,
10203,3,3,2,1,,,,
10204,1,1,5,3,,,,
10205,3,3,5,1,,,,
10206,3,2,2,1,,,,
10207,2,3,4,5,,,,
10208,1,1,5,5,,,,
10209,2,3,2,4,,,,
10210,3,3,4,5,,,,
10211,4,4,5,3,,,,
10212,5,5,4,4,,,,
10213,3,2,5,5,,,,
10214,4,1,2,1,,,,
10215,1,1,5,5,,,,
10216,4,4,5,3,,,,
10217,2,1,4,5,,,,
10218,3,3,4,3,,,,
10219,3,4,4,3,,,,
10220,2,1,2,5,,,,
10221,4,4,5,1,,,,
10222,4,4,5,5,,,,
10223,3,4,3,1,,,,
10224,2,1,4,4,,,,
10225,2,1,2,5,,,,
10226,2,2,5,1,,,,
10227,4,2,4,1,,,,
10228,4,5,4,1,,,,
10229,2,3,2,4,,,,
10230,2,3,5,5,,,,
10231,2,3,5,1,,,,
10232,1,1,1,5,,,,
10233,4,4,5,3,,,,
10234,2,1,1,1,,,,
10235,3,1,1,5,,,,
10236,2,1,5,5,,,,
10237,2,2,5,4,,,,
10238,3,1,1,4,,,,
10239,2,1,2,5,,,,
10240,2,4,2,3,,,,
10241,3,2,5,5,,,,
10242,2,1,1,5,,,,
10243,3,4,4,3,,,,
10244,3,2,4,3,,,,
10245,5,5,5,2,,,,
10246,3,4,5,1,,,,
10247,3,2,2,5,,,,
10248,3,4,5,5,,,,
10249,4,5,4,2,,,,
10250,5,5,4,2,,,,
10251,2,4,5,4,,,,
10252,2,3,4,4,,,,
10253,4,4,5,5,,,,
10254,2,3,4,5,,,,
10255,3,3,3,5,,,,
10256,4,4,4,5,,,,
10257,1,1,1,3,,,,
10258,1,1,1,4,,,,
10259,2,4,1,2,,,,
10260,2,1,5,4,,,,
10261,3,1,2,2,,,,
10262,2,1,5,4,,,,
10263,2,3,5,3,,,,
10264,1,4,5,3,,,,
10265,4,4,5,4,,,,
10266,2,3,5,5,,,,
10267,5,5,5,5,,,,
10268,1,1,1,1,,,,
10269,4,4,4,4,,,,
10270,2,4,4,2,,,,
10271,2,3,4,3,,,,
10272,1,1,1,2,,,,
10273,4,4,4,5,,,,
10274,3,3,1,1,,,,
10275,2,1,5,1,,,,
10276,4,5,4,5,,,,
10277,3,3,3,4,,,,
10278,4,5,5,5,,,,
10279,2,3,4,3,,,,
10280,4,4,4,4,,,,
10281,1,1,5,3,,,,
10282,4,4,4,5,,,,
10283,4,3,4,4,,,,
10284,2,4,4,5,,,,
10285,2,3,5,4,,,,
10286,2,2,5,5,,,,
10287,1,2,5,2,,,,
10288,3,2,2,5,,,,
10289,1,1,1,4,,,,
10290,1,1,1,2,,,,
10291,4,4,4,1,,,,
10292,3,4,4,5,,,,
10293,3,4,4,3,,,,
10294,2,3,5,5,,,,
10295,3,1,1,3,,,,
10296,2,4,5,5,,,,
10297,3,3,4,5,,,,
10298,3,3,5,4,,,,
10299,2,2,5,3,,,,
10300,5,4,5,1,,,,
10301,1,1,1,5,,,,
10302,3,2,4,4,,,,
10303,3,1,5,4,,,,
10304,3,3,4,3,,,,
10305,2,4,5,1,,,,
10306,4,4,5,4,,,,
10307,2,4,5,5,,,,
10308,1,1,1,4,,,,
10309,3,3,5,4,,,,
10310,1,1,1,1,,,,
10311,4,3,4,1,,,,
10312,3,3,4,2,,,,
10313,2,2,5,1,,,,
10314,4,4,4,4,,,,
10315,3,4,4,5,,,,
10316,2,2,4,2,,,,
10317,4,3,4,5,,,,
10318,3,3,2,5,,,,
10319,2,4,4,1,,,,
10320,2,2,2,5,,,,
10321,2,3,2,4,,,,
10322,1,1,1,1,,,,
10323,1,4,1,2,,,,
10324,2,1,1,1,,,,
10325,3,3,5,2,,,,
10326,1,1,1,4,,,,
10327,2,1,1,1,,,,
10328,2,1,5,3,,,,
10329,5,5,5,1,,,,
10330,4,5,4,1,,,,
10331,2,3,5,5,,,,
10332,2,1,2,5,,,,
10333,1,1,1,4,,,,
10334,4,4,4,5,,,,
10335,2,2,5,3,,,,
10336,2,2,5,4,,,,
10337,3,3,5,5,,,,
10338,2,3,5,1,,,,
10339,4,4,5,5,,,,
10340,2,4,5,3,,,,
10341,5,5,4,5,,,,
10342,4,1,5,3,,,,
10343,1,1,1,3,,,,
10344,4,4,4,5,,,,
10345,4,3,4,1,,,,
10346,4,3,4,5,,,,
10347,3,2,5,1,,,,
10348,3,3,4,4,,,,
10349,2,2,5,5,,,,
10350,4,4,1,1,,,,
10351,1,1,1,1,,,,
10352,2,1,2,1,,,,
10353,4,4,4,4,,,,
10354,1,1,1,5,,,,
10355,4,5,5,1,,,,
10356,2,4,2,5,,,,
10357,2,1,2,3,,,,
10358,2,1,5,1,,,,
10359,2,1,3,5,,,,
10360,1,1,1,5,,,,
10361,3,2,4,4,,,,
10362,3,1,2,4,,,,
10363,4,4,4,5,,,,
10364,1,1,1,3,,,,
10365,4,4,5,5,,,,
10366,3,1,1,5,,,,
10367,2,3,4,3,,,,
10368,2,1,2,3,,,,
10369,1,1,1,2,,,,
10370,1,1,1,1,,,,
10371,3,3,5,5,,,,
10372,2,1,4,5,,,,
10373,4,5,5,2,,,,
10374,2,2,5,2,,,,
10375,3,4,4,4,,,,
10376,3,1,5,4,,,,
10377,2,1,5,5,,,,
10378,4,4,4,5,,,,
10379,2,1,2,5,,,,
10380,2,1,1,5,,,,
10381,2,2,5,3,,,,
10382,2,4,2,4,,,,
10383,4,3,5,2,,,,
10384,3,3,5,4,,,,
10385,2,4,2,2,,,,
10386,4,5,5,4,,,,
10387,2,3,4,3,,,,
10388,1,1,1,3,,,,
10389,2,1,5,4,,,,
10390,3,1,5,5,,,,
10391,1,1,1,5,,,,
10392,2,3,5,1,,,,
10393,4,3,5,4,,,,
10394,2,5,2,2,,,,
10395,2,1,2,3,,,,
10396,2,2,2,2,,,,
10397,4,4,4,5,,,,
10398,2,1,2,1,,,,
10399,3,3,5,1,,,,
10400,2,1,5,5,,,,
10401,3,3,3,4,,,,
10402,4,3,4,5,,,,
10403,1,1,1,3,,,,
10404,2,3,4,4,,,,
10405,2,3,4,3,,,,
10406,4,5,2,5,,,,
10407,2,2,5,4,,,,
10408,3,3,5,5,,,,
10409,4,4,2,4,,,,
10410,2,1,4,5,,,,
10411,2,3,5,2,,,,
10412,3,1,5,5,,,,
10413,3,1,1,4,,,,
10414,5,5,4,2,,,,
10415,1,1,1,1,,,,
10416,3,2,4,5,,,,
10417,5,5,5,3,,,,
10418,4,4,4,5,,,,
10419,2,2,2,3,,,,
10420,2,1,5,5,,,,
10421,1,4,2,5,,,,
10422,2,4,2,4,,,,
10423,1,1,1,3,,,,
10424,3,3,5,1,,,,
10425,1,1,5,5,,,,
10426,2,4,2,4,,,,
10427,2,2,5,4,,,,
10428,4,3,5,3,,,,
10429,3,3,4,1,,,,
10430,1,1,1,4,,,,
10431,5,5,4,5,,,,
10432,2,1,4,4,,,,
10433,4,4,2,4,,,,
10434,2,2,5,1,,,,
10435,2,2,5,1,,,,
10436,2,2,5,2,,,,
10437,2,2,5,1,,,,
10438,4,4,4,4,,,,
10439,2,3,5,5,,,,
10440,4,2,5,2,,,,
10441,4,5,5,5,,,,
10442,4,4,2,5,,,,
10443,4,4,5,1,,,,
10444,2,1,1,5,,,,
10445,1,1,1,4,,,,
10446,2,3,2,1,,,,
10447,3,1,1,2,,,,
10448,2,1,1,1,,,,
10449,1,1,2,2,,,,
10450,2,1,2,4,,,,
10451,2,2,5,1,,,,
10452,2,2,2,3,,,,
10453,2,2,5,1,,,,
10454,1,1,1,1,,,,
10455,2,3,2,5,,,,
10456,4,1,1,5,,,,
10457,4,3,5,4,,,,
10458,4,5,4,5,,,,
10459,4,4,4,3,,,,
10460,2,3,5,4,,,,
10461,4,3,4,5,,,,
10462,2,2,5,1,,,,
10463,3,5,4,5,,,,
10464,3,2,2,3,,,,
10465,4,5,4,5,,,,
10466,5,5,4,3,,,,
10467,2,4,4,3,,,,
10468,2,4,5,5,,,,
10469,1,1,1,1,,,,
10470,4,3,5,5,,,,
10471,1,1,1,1,,,,
10472,2,3,2,4,,,,
10473,2,2,5,5,,,,
10474,4,4,4,1,,,,
10475,2,4,2,1,,,,
10476,3,1,2,1,,,,
10477,1,1,1,4,,,,
10478,2,1,5,5,,,,
10479,5,5,4,1,,,,
10480,4,5,4,5,,,,
10481,1,1,1,3,,,,
10482,2,3,5,1,,,,
10483,2,2,5,5,,,,
10484,4,3,3,5,,,,
10485,4,3,4,4,,,,
10486,3,3,5,4,,,,
10487,4,5,4,5,,,,
10488,4,4,4,3,,,,
10489,4,3,4,5,,,,
10490,1,2,5,5,,,,
10491,3,2,2,3,,,,
10492,1,1,1,3,,,,
10493,2,1,2,2,,,,
10494,2,2,5,1,,,,
10495,4,3,4,5,,,,
10496,3,3,4,5,,,,
10497,1,1,5,2,,,,
10498,3,1,1,2,,,,
10499,1,1,2,4,,,,
10500,1,1,1,4,,,,
10501,2,4,4,5,,,,
10502,2,2,5,5,,,,
10503,2,4,5,5,,,,
10504,1,1,1,5,,,,
10505,5,5,5,3,,,,
10506,2,4,1,4,,,,
10507,2,5,5,2,,,,
10508,4,5,5,4,,,,
10509,4,5,5,2,,,,
10510,2,3,4,4,,,,
10511,3,3,5,3,,,,
10512,2,4,1,3,,,,
10513,1,1,1,4,,,,
10514,1,1,1,5,,,,
10515,1,1,5,5,,,,
10516,2,2,5,1,,,,
10517,3,3,5,4,,,,
10518,3,3,5,2,,,,
10519,2,3,5,3,,,,
10520,4,3,5,2,,,,
10521,2,1,5,5,,,,
10522,5,4,2,1,,,,
10523,4,4,5,1,,,,
10524,4,3,5,5,,,,
10525,3,3,4,4,,,,
10526,2,2,5,5,,,,
10527,2,4,5,3,,,,
10528,3,3,5,4,,,,
10529,1,1,1,3,,,,
10530,1,2,1,5,,,,
10531,4,4,4,4,,,,
10532,3,3,3,5,,,,
10533,4,4,5,4,,,,
10534,3,4,4,5,,,,
10535,1,4,5,2,,,,
10536,1,1,1,5,,,,
10537,1,1,1,4,,,,
10538,3,3,4,2,,,,
10539,2,2,1,1,,,,
10540,3,3,5,5,,,,
10541,2,2,5,3,,,,
10542,3,3,2,5,,,,
10543,4,3,5,3,,,,
10544,2,1,5,5,,,,
10545,2,2,5,5,,,,
10546,4,5,5,4,,,,
10547,2,2,5,3,,,,
10548,5,5,5,1,,,,
10549,1,2,5,5,,,,
10550,4,4,5,4,,,,
10551,1,1,1,4,,,,
10552,4,5,5,3,,,,
10553,3,4,5,1,,,,
10554,2,1,1,4,,,,
10555,1,1,1,5,,,,
10556,2,1,1,4,,,,
10557,4,2,4,4,,,,
10558,2,4,5,1,,,,
10559,1,4,5,1,,,,
10560,3,1,4,2,,,,
10561,1,1,1,1,,,,
10562,1,1,1,4,,,,
10563,1,2,5,5,,,,
10564,4,3,5,2,,,,
10565,4,3,4,5,,,,
10566,2,3,5,5,,,,
10567,2,4,5,1,,,,
10568,2,3,1,5,,,,
10569,3,3,2,4,,,,
10570,3,3,5,1,,,,
10571,4,4,5,2,,,,
10572,2,4,5,1,,,,
10573,4,3,5,2,,,,
10574,3,3,2,4,,,,
10575,1,1,1,1,,,,
10576,1,1,1,3,,,,
10577,3,4,5,1,,,,
10578,3,3,4,1,,,,
10579,2,2,5,5,,,,
10580,2,2,5,5,,,,
10581,3,4,2,4,,,,
10582,4,5,5,5,,,,
10583,3,3,5,3,,,,
10584,4,5,4,4,,,,
10585,4,5,4,5,,,,
10586,2,4,4,1,,,,
10587,4,3,4,5,,,,
10588,1,1,1,3,,,,
10589,2,2,5,5,,,,
10590,4,3,5,3,,,,
10591,3,3,5,3,,,,
10592,2,4,5,5,,,,
10593,2,3,5,1,,,,
10594,3,3,5,5,,,,
10595,1,1,1,1,,,,
10596,2,1,1,4,,,,
10597,2,1,2,5,,,,
10598,3,2,5,1,,,,
10599,4,5,5,1,,,,
10600,3,4,5,1,,,,
10601,2,4,5,4,,,,
10602,3,4,5,5,,,,
10603,4,1,5,1,,,,
10604,4,1,5,5,,,,
10605,1,1,1,3,,,,
10606,3,2,5,1,,,,
10607,4,2,5,5,,,,
10608,2,4,2,5,,,,
10609,2,1,5,4,,,,
10610,5,4,4,4,,,,
10611,4,4,5,5,,,,
10612,4,4,5,3,,,,
10613,2,4,5,5,,,,
10614,2,1,5,5,,,,
10615,3,3,5,3,,,,
10616,2,5,1,3,,,,
10617,1,1,1,2,,,,
10618,2,2,5,1,,,,
10619,1,4,5,5,,,,
10620,2,2,1,5,,,,
10621,1,1,1,2,,,,
10622,2,4,1,2,,,,
10623,4,2,5,4,,,,
10624,1,2,1,4,,,,
10625,4,3,5,5,,,,
10626,3,3,5,5,,,,
10627,4,3,2,5,,,,
10628,4,4,4,5,,,,
10629,2,4,5,3,,,,
10630,1,4,1,4,,,,
10631,5,4,5,2,,,,
10632,2,4,1,4,,,,
10633,2,5,1,2,,,,
10634,2,3,5,4,,,,
10635,3,1,5,3,,,,
10636,4,5,5,3,,,,
10637,2,4,5,4,,,,
10638,1,1,1,5,,,,
10639,2,1,1,5,,,,
10640,4,4,4,1,,,,
10641,1,1,1,4,,,,
10642,3,3,5,2,,,,
10643,1,1,1,3,,,,
10644,1,1,1,2,,,,
10645,4,4,5,5,,,,
10646,4,3,4,1,,,,
10647,3,4,4,1,,,,
10648,4,3,4,5,,,,
10649,2,2,5,4,,,,
10650,3,2,5,5,,,,
10651,2,4,4,3,,,,
10652,4,2,5,4,,,,
10653,3,3,5,3,,,,
10654,2,2,5,5,,,,
10655,2,2,5,4,,,,
10656,4,4,5,5,,,,
10657,2,3,5,4,,,,
10658,4,4,5,5,,,,
10659,2,3,5,2,,,,
10660,4,3,4,5,,,,
10661,3,3,2,4,,,,
10662,2,2,5,2,,,,
10663,4,4,4,1,,,,
10664,3,3,2,5,,,,
10665,3,3,5,3,,,,
10666,2,2,1,5,,,,
10667,2,1,5,3,,,,
10668,1,1,1,5,,,,
10669,5,5,4,5,,,,
10670,4,4,4,4,,,,
10671,4,3,4,3,,,,
10672,1,1,1,1,,,,
10673,1,1,1,5,,,,
10674,2,4,5,4,,,,
10675,2,2,5,4,,,,
10676,4,1,5,3,,,,
10677,2,1,5,1,,,,
10678,4,4,1,4,,,,
10679,3,2,5,5,,,,
10680,3,3,1,4,,,,
10681,1,1,1,4,,,,
10682,1,1,1,1,,,,
10683,5,4,2,1,,,,
10684,4,5,5,2,,,,
10685,4,1,5,1,,,,
10686,4,4,5,4,,,,
10687,2,4,5,5,,,,
10688,3,3,5,2,,,,
10689,4,3,4,5,,,,
10690,1,1,1,5,,,,
10691,2,1,1,1,,,,
10692,4,4,5,5,,,,
10693,2,3,5,4,,,,
10694,3,1,1,1,,,,
10695,4,2,4,2,,,,
10696,2,3,5,1,,,,
10697,2,4,5,2,,,,
10698,1,1,1,4,,,,
10699,4,2,4,1,,,,
10700,2,1,1,3,,,,
10701,2,4,5,1,,,,
10702,4,4,5,1,,,,
10703,2,1,1,5,,,,
10704,2,1,1,5,,,,
10705,3,2,5,4,,,,
10706,2,4,5,5,,,,
10707,2,2,4,3,,,,
10708,4,5,4,4,,,,
10709,2,1,5,5,,,,
10710,1,1,1,1,,,,
10711,2,4,2,5,,,,
10712,2,1,5,3,,,,
10713,2,3,4,5,,,,
10714,1,1,1,3,,,,
10715,3,3,3,3,,,,
10716,4,4,4,5,,,,
10717,1,1,1,1,,,,
10718,2,1,5,5,,,,
10719,4,4,4,1,,,,
10720,2,2,5,4,,,,
10721,2,1,1,5,,,,
10722,4,4,4,1,,,,
10723,2,4,5,1,,,,
10724,4,2,5,1,,,,
10725,4,5,2,4,,,,
10726,4,3,2,5,,,,
10727,4,2,5,1,,,,
10728,4,4,4,5,,,,
10729,4,5,5,3,,,,
10730,4,4,4,1,,,,
10731,2,2,5,5,,,,
10732,3,3,5,5,,,,
10733,4,4,2,4,,,,
10734,4,5,2,4,,,,
10735,3,1,5,5,,,,
10736,4,4,4,3,,,,
10737,2,2,4,5,,,,
10738,3,1,5,5,,,,
10739,1,1,1,3,,,,
10740,4,4,5,3,,,,
10741,1,1,1,2,,,,
10742,3,2,2,1,,,,
10743,1,1,1,5,,,,
10744,2,2,5,5,,,,
10745,2,2,1,2,,,,
10746,2,4,5,2,,,,
10747,4,3,4,4,,,,
10748,4,4,5,4,,,,
10749,4,4,4,5,,,,
10750,4,4,4,5,,,,
10751,1,1,5,5,,,,
10752,3,4,2,5,,,,
10753,4,4,5,3,,,,
10754,4,4,4,4,,,,
10755,4,4,1,2,,,,
10756,3,1,5,4,,,,
10757,2,1,1,2,,,,
10758,3,3,2,4,,,,
10759,3,4,5,3,,,,
10760,3,4,5,3,,,,
10761,4,5,4,4,,,,
10762,1,2,2,5,,,,
10763,2,2,5,5,,,,
10764,4,4,5,1,,,,
10765,2,2,5,4,,,,
10766,2,4,5,2,,,,
10767,3,3,5,3,,,,
10768,3,4,5,2,,,,
10769,4,5,1,5,,,,
10770,2,1,1,1,,,,
10771,2,4,5,1,,,,
10772,4,5,4,5,,,,
10773,4,5,4,4,,,,
10774,4,2,5,5,,,,
10775,4,5,4,3,,,,
10776,2,3,4,4,,,,
10777,4,4,5,3,,,,
10778,2,2,2,5,,,,
10779,4,4,4,4,,,,
10780,2,1,1,5,,,,
10781,3,2,5,4,,,,
10782,4,4,4,5,,,,
10783,3,1,5,2,,,,
10784,2,1,5,5,,,,
10785,4,4,4,4,,,,
10786,4,4,4,2,,,,
10787,4,4,4,1,,,,
10788,1,1,1,5,,,,
10789,3,3,2,3,,,,
10790,3,5,1,5,,,,
10791,4,3,4,3,,,,
10792,3,4,1,5,,,,
10793,3,4,2,5,,,,
10794,3,2,4,4,,,,
10795,4,4,5,3,,,,
10796,4,5,4,1,,,,
10797,4,4,4,5,,,,
10798,4,4,5,4,,,,
10799,1,2,5,4,,,,
10800,3,4,2,3,,,,
10801,1,1,1,1,,,,
10802,2,1,1,4,,,,
10803,4,4,4,5,,,,
10804,2,2,5,4,,,,
10805,1,1,1,4,,,,
10806,3,1,5,1,,,,
10807,4,4,5,1,,,,
10808,2,1,5,2,,,,
10809,1,1,1,1,,,,
10810,1,1,1,4,,,,
10811,2,4,5,5,,,,
10812,4,3,5,2,,,,
10813,1,1,1,5,,,,
10814,2,2,5,5,,,,
10815,4,4,5,1,,,,
10816,2,4,2,5,,,,
10817,2,2,3,4,,,,
10818,4,4,1,1,,,,
10819,3,2,5,2,,,,
10820,2,1,5,1,,,,
10821,2,1,1,2,,,,
10822,2,4,4,4,,,,
10823,2,2,5,1,,,,
10824,3,3,2,3,,,,
10825,1,1,1,1,,,,
10826,3,3,5,1,,,,
10827,4,4,1,5,,,,
10828,3,1,5,5,,,,
10829,1,1,1,4,,,,
10830,1,1,1,5,,,,
10831,4,4,5,3,,,,
10832,2,1,1,4,,,,
10833,3,4,3,5,,,,
10834,1,1,1,1,,,,
10835,4,4,5,5,,,,
10836,2,2,4,3,,,,
10837,4,4,5,5,,,,
10838,2,2,1,3,,,,
10839,2,1,5,3,,,,
10840,3,2,5,5,,,,
10841,4,1,5,1,,,,
10842,4,5,5,5,,,,
10843,2,3,5,1,,,,
10844,2,2,5,4,,,,
10845,4,5,4,5,,,,
10846,4,4,4,1,,,,
10847,4,4,3,1,,,,
10848,4,4,5,1,,,,
10849,4,4,5,4,,,,
10850,2,4,5,5,,,,
10851,4,2,5,1,,,,
10852,4,4,4,5,,,,
10853,1,1,1,3,,,,
10854,2,3,2,1,,,,
10855,2,2,5,5,,,,
10856,4,4,2,5,,,,
10857,3,3,3,4,,,,
10858,2,2,1,4,,,,
10859,2,2,5,5,,,,
10860,1,1,1,3,,,,
10861,4,2,2,5,,,,
10862,2,1,5,5,,,,
10863,5,5,4,3,,,,
10864,2,2,1,3,,,,
10865,2,1,1,2,,,,
10866,2,1,1,1,,,,
10867,4,1,5,5,,,,
10868,4,5,4,5,,,,
10869,4,3,4,2,,,,
10870,4,4,5,1,,,,
10871,2,2,4,5,,,,
10872,1,1,1,3,,,,
10873,4,2,5,5,,,,
10874,1,1,1,3,,,,
10875,2,2,5,5,,,,
10876,1,1,1,5,,,,
10877,4,4,4,4,,,,
10878,4,5,1,3,,,,
10879,4,5,5,1,,,,
10880,1,1,1,5,,,,
10881,3,2,5,4,,,,
10882,2,2,5,4,,,,
10883,4,2,5,3,,,,
10884,1,1,1,1,,,,
10885,2,2,5,4,,,,
10886,2,2,2,5,,,,
10887,4,4,5,4,,,,
10888,4,2,5,4,,,,
10889,4,5,5,1,,,,
10890,2,1,1,1,,,,
10891,2,4,5,2,,,,
10892,2,3,5,1,,,,
10893,4,1,5,4,,,,
10894,4,5,4,5,,,,
10895,3,4,5,2,,,,
10896,4,2,5,5,,,,
10897,1,1,1,5,,,,
10898,2,2,5,1,,,,
10899,2,1,5,5,,,,
10900,1,1,1,4,,,,
10901,2,1,5,1,,,,
10902,4,4,5,2,,,,
10903,4,4,5,1,,,,
10904,2,1,5,2,,,,
10905,2,4,4,4,,,,
10906,2,4,4,1,,,,
10907,2,2,5,3,,,,
10908,4,5,5,1,,,,
10909,4,5,5,1,,,,
10910,4,4,4,5,,,,
10911,2,5,2,5,,,,
10912,2,2,5,4,,,,
10913,2,1,1,5,,,,
10914,3,4,5,3,,,,
10915,2,4,5,4,,,,
10916,4,4,5,5,,,,
10917,4,4,5,1,,,,
10918,2,2,2,5,,,,
10919,2,4,5,3,,,,
10920,4,4,5,5,,,,
10921,3,5,4,3,,,,
10922,1,1,1,3,,,,
10923,3,3,2,5,,,,
10924,3,2,2,1,,,,
10925,4,4,4,5,,,,
10926,2,1,1,1,,,,
10927,2,4,5,4,,,,
10928,4,4,4,5,,,,
