Audio,Darwin,Josefina,Richard,Sayuri
10382,4,5,4,1
10383,2,3,1,1
10384,2,3,1,1
10385,4,3,4,4
10386,4,5,1,4
10387,2,3,1,3
10388,5,5,5,3
10389,1,2,1,5
10390,2,3,1,4
10391,5,5,5,4
10392,1,3,1,5
10393,2,3,1,1
10394,4,5,4,4
10395,5,5,4,3
10396,3,5,4,4
10397,4,5,1,1
10398,5,5,4,5
10399,2,3,1,5
10400,1,2,1,5
10401,2,3,1,1
10402,2,3,2,5
10403,5,5,5,3
10404,2,3,1,2
10405,1,3,2,3
10406,4,5,4,4
10407,4,4,1,5
10408,2,3,1,2
10409,2,2,4,1
10410,4,5,2,1
10411,2,3,1,4
10412,2,1,1,1
10413,4,5,5,4
10414,4,5,1,4
10415,5,5,5,5
10416,3,2,1,5
10417,4,5,1,3
10418,4,5,1,4
10419,4,4,4,3
10420,2,1,1,1
10421,5,5,4,1
10422,4,2,4,2
10423,5,5,5,3
10424,2,3,1,1
10425,2,3,1,5
10426,4,5,4,1
10427,1,2,1,4
10428,2,3,1,3
10429,2,3,1,2
10430,4,5,5,4
10431,4,5,1,1
10432,2,1,1,2
10433,4,5,4,1
10434,2,2,1,2
10435,1,4,1,5
10436,1,2,1,5
10437,2,2,1,4
10438,4,5,2,4
10439,2,2,1,5
10440,4,2,1,2
10441,4,5,1,1
10442,4,5,4,4
10443,2,2,1,5
10444,4,5,5,4
10445,5,5,5,1
10446,4,4,4,4
10447,5,5,5,1
10448,4,5,5,5
10449,4,5,4,4
10450,4,5,4,2
10451,2,2,1,5
10452,4,5,4,3
10453,2,2,1,1
10454,5,5,5,5
10455,4,3,4,1
10456,2,5,5,1
10457,4,3,1,2
10458,4,5,2,5
10459,4,4,2,3
10460,2,3,1,2
10461,2,3,1,1
10462,2,2,1,5
10463,4,5,2,1
10464,3,5,4,3
10465,4,5,2,1
10466,4,5,2,2
10467,4,5,2,1
10468,1,3,1,1
10469,4,5,5,5
10470,3,3,1,2
10471,5,5,5,5
10472,2,3,4,1
10473,1,2,1,1
10474,3,2,2,5
10475,3,2,4,4
10476,3,4,4,4
10477,5,5,5,1
10478,1,1,1,1
10479,4,5,1,4
10480,4,5,1,5
10481,5,5,5,3
10482,1,3,1,1
10483,1,2,1,4
10484,2,3,2,5
10485,2,3,2,1
10486,3,3,1,4
10487,4,5,2,1
10488,2,2,2,3
10489,2,3,1,1
10490,2,2,1,4
10491,3,5,4,2
10492,5,5,5,1
10493,2,2,4,2
10494,1,2,1,1
10495,3,3,2,1
10496,3,2,2,4
10497,5,5,1,4
10498,4,5,5,4
10499,5,5,4,2
10500,5,5,5,2
10501,3,2,2,2
10502,1,2,1,4
10503,3,2,1,2
10504,5,5,5,4
10505,4,5,1,3
10506,2,2,5,1
10507,4,5,2,1
10508,4,5,1,1
10509,4,5,1,4
10510,2,3,2,4
10511,2,3,1,3
10512,1,2,5,3
10513,5,5,5,5
10514,5,5,5,4
10515,5,5,1,4
10516,1,2,1,5
10517,3,3,1,1
10518,3,3,1,4
10519,3,3,1,3
10520,2,2,1,4
10521,1,1,1,1
10522,4,5,4,5
10523,4,5,1,5
10524,3,3,1,5
10525,4,3,1,1
10526,2,2,1,5
10527,2,2,1,3
10528,3,3,1,2
10529,5,5,5,3
10530,4,4,4,4
10531,4,5,1,5
10532,3,3,1,2
10533,4,5,1,1
10534,4,5,2,1
10535,4,2,1,4
10536,5,5,5,1
10537,5,5,5,4
10538,3,3,1,4
10539,4,3,5,5
10540,3,3,1,5
10541,1,2,1,3
10542,3,3,4,4
10543,3,3,1,3
10544,2,1,1,1
10545,1,1,1,1
10546,4,5,4,2
10547,4,2,1,3
10548,4,5,1,1
10549,1,2,1,5
10550,4,5,1,1
10551,5,5,5,4
10552,4,5,1,3
10553,4,4,1,2
10554,5,5,5,4
10555,5,5,5,1
10556,4,5,5,2
10557,2,5,2,1
10558,2,2,1,2
10559,2,2,1,5
10560,3,1,1,5
10561,5,5,5,4
10562,4,5,5,4
10563,2,2,1,5
10564,2,3,1,2
10565,2,3,1,1
10566,2,3,1,4
10567,2,2,1,5
10568,4,3,5,4
10569,3,3,4,1
10570,3,3,1,4
10571,2,5,1,1
10572,1,4,1,5
10573,3,3,1,4
10574,2,3,4,2
10575,5,5,5,5
10576,5,5,5,3
10577,3,5,1,1
10578,2,3,2,5
10579,1,1,1,1
10580,1,2,1,1
10581,4,5,4,2
10582,4,5,1,5
10583,3,3,1,3
10584,4,5,2,2
10585,4,5,2,1
10586,2,3,2,5
10587,3,3,2,1
10588,5,5,5,3
10589,1,2,1,1
10590,2,3,1,2
10591,3,3,1,1
10592,1,4,1,1
10593,2,3,1,5
10594,3,3,1,2
10595,5,5,5,5
10596,5,5,5,1
10597,4,5,4,1
10598,2,2,1,5
10599,4,5,1,4
10600,3,5,1,4
10601,2,1,1,1
10602,3,2,1,1
10603,2,2,1,4
10604,2,2,1,5
10605,5,5,5,3
10606,2,2,1,1
10607,2,2,1,4
10608,3,5,4,5
10609,1,2,1,1
10610,4,5,2,4
10611,2,4,1,1
10612,4,5,1,3
10613,2,3,1,1
10614,1,2,1,4
10615,2,3,1,2
10616,4,5,5,1
10617,5,5,5,2
10618,1,2,1,1
10619,1,2,1,1
10620,2,2,5,4
10621,5,5,5,4
10622,4,5,5,4
10623,2,4,1,2
10624,5,4,5,2
10625,2,3,1,2
10626,3,3,1,4
10627,2,3,4,2
10628,4,5,2,4
10629,1,5,1,3
10630,5,5,5,1
10631,4,5,1,1
10632,2,4,5,1
10633,4,5,5,4
10634,2,3,1,4
10635,2,1,1,3
10636,2,5,1,3
10637,1,4,1,5
10638,4,5,5,4
10639,4,5,5,4
10640,2,5,2,5
10641,4,5,5,1
10642,2,3,1,4
10643,5,5,5,3
10644,5,5,5,4
10645,4,5,1,1
10646,2,3,2,5
10647,4,5,2,5
10648,4,3,2,5
10649,1,2,1,1
10650,2,2,1,5
10651,4,5,2,3
10652,2,2,1,2
10653,2,3,1,3
10654,2,2,1,4
10655,2,2,1,5
10656,2,2,1,2
10657,1,3,1,1
10658,2,2,1,1
10659,2,3,1,4
10660,2,3,2,1
10661,2,3,4,4
10662,1,2,1,4
10663,4,4,2,5
10664,3,3,2,5
10665,2,3,1,3
10666,4,5,5,4
10667,2,2,1,3
10668,5,5,5,1
10669,5,5,2,1
10670,4,5,2,2
10671,2,3,2,3
10672,5,5,5,1
10673,5,5,5,5
10674,1,2,1,1
10675,1,2,1,4
10676,2,1,1,3
10677,4,1,1,2
10678,4,5,5,4
10679,2,2,1,1
10680,3,3,4,2
10681,5,5,5,1
10682,5,5,5,2
10683,4,5,4,5
10684,4,5,1,5
10685,4,5,1,4
10686,4,5,1,4
10687,1,1,1,5
10688,3,3,1,2
10689,3,3,2,1
10690,5,5,5,4
10691,4,5,5,5
10692,2,4,1,4
10693,2,3,1,1
10694,4,5,5,4
10695,4,5,2,1
10696,1,3,1,5
10697,2,2,1,4
10698,5,5,5,2
10699,2,4,2,5
10700,4,5,5,3
10701,1,1,1,1
10702,2,1,1,5
10703,4,5,5,1
10704,4,5,5,1
10705,2,2,1,2
10706,3,2,1,5
10707,3,4,2,3
10708,4,5,2,2
10709,2,1,1,1
10710,5,5,5,5
10711,3,5,4,1
10712,2,1,1,3
10713,2,3,1,1
10714,5,5,5,2
10715,2,3,2,1
10716,4,5,2,1
10717,4,5,5,5
10718,2,1,1,2
10719,4,5,2,5
10720,1,2,1,1
10721,4,5,5,1
10722,4,5,2,5
10723,2,2,1,4
10724,2,2,1,4
10725,4,5,4,1
10726,2,3,4,1
10727,2,2,1,4
10728,4,5,2,5
10729,4,5,2,3
10730,5,5,2,1
10731,1,2,1,4
10732,2,3,1,5
10733,4,5,4,1
10734,4,5,4,4
10735,4,1,1,1
10736,4,5,2,3
10737,2,2,2,1
10738,2,2,1,4
10739,5,5,5,2
10740,2,5,1,1
10741,5,5,5,2
10742,4,4,4,1
10743,5,5,5,1
10744,1,2,1,4
10745,4,4,5,4
10746,2,2,1,4
10747,3,3,1,2
10748,2,4,1,2
10749,4,4,2,2
10750,4,4,2,4
10751,1,1,1,2
10752,3,4,4,4
10753,4,5,1,3
10754,3,4,2,1
10755,4,4,5,1
10756,2,2,1,1
10757,4,4,5,4
10758,3,3,4,4
10759,2,2,1,3
10760,2,1,1,3
10761,4,5,1,5
10762,4,4,4,4
10763,4,2,1,4
10764,4,4,1,5
10765,3,2,1,1
10766,1,2,1,4
10767,3,3,1,3
10768,1,1,1,4
10769,4,5,5,1
10770,4,5,5,5
10771,4,4,1,5
10772,4,5,2,5
10773,5,5,2,1
10774,2,2,1,5
10775,4,5,2,3
10776,3,3,1,2
10777,4,5,1,3
10778,4,2,4,4
10779,4,5,2,5
10780,4,5,5,2
10781,2,2,1,1
10782,4,5,2,1
10783,2,1,1,4
10784,1,1,1,1
10785,4,4,2,4
10786,4,5,2,4
10787,4,5,2,5
10788,5,5,5,5
10789,1,3,4,3
10790,5,5,5,4
10791,2,3,2,3
10792,4,4,5,1
10793,4,4,4,1
10794,2,2,2,2
10795,4,4,1,3
10796,4,5,2,1
10797,4,5,2,5
10798,2,2,1,1
10799,1,2,1,4
10800,2,2,4,3
10801,5,5,5,2
10802,4,4,5,4
10803,4,5,2,1
10804,2,2,1,2
10805,5,5,5,1
10806,2,1,1,2
10807,5,4,1,5
10808,2,1,1,5
10809,5,5,5,4
10810,5,5,5,4
10811,1,2,1,5
10812,2,3,1,2
10813,5,5,5,1
10814,2,2,1,4
10815,2,4,1,5
10816,5,4,4,4
10817,2,2,2,1
10818,4,4,5,4
10819,2,2,1,1
10820,2,2,1,5
10821,4,5,5,4
10822,4,5,2,2
10823,3,2,1,5
10824,2,3,4,3
10825,5,5,5,1
10826,4,3,1,5
10827,4,5,5,1
10828,3,1,1,1
10829,5,5,5,2
10830,5,5,5,5
10831,4,5,1,3
10832,5,5,5,2
10833,3,4,2,1
10834,5,5,5,5
10835,4,5,1,1
10836,2,2,2,3
10837,2,4,1,1
10838,2,2,5,2
10839,5,5,1,1
10840,2,2,1,1
10841,2,1,1,5
10842,4,5,1,2
10843,3,3,1,5
10844,4,2,1,1
10845,4,5,2,1
10846,4,5,2,5
10847,2,3,2,4
10848,2,2,1,4
10849,2,2,1,1
10850,2,2,1,1
10851,2,2,1,4
10852,4,4,2,5
10853,5,5,5,3
10854,4,3,4,1
10855,1,2,1,4
10856,4,5,4,5
10857,2,3,2,1
10858,4,4,5,4
10859,2,2,1,1
10860,5,5,5,3
10861,2,2,4,1
10862,4,1,1,4
10863,5,5,2,2
10864,4,4,5,1
10865,4,5,5,2
10866,5,5,5,1
10867,2,2,1,1
10868,4,5,2,4
10869,2,3,2,4
10870,4,5,1,5
10871,4,2,2,5
10872,5,5,5,3
10873,4,2,1,4
10874,5,5,5,3
10875,2,2,1,1
10876,5,5,5,1
10877,4,2,2,2
10878,5,5,5,3
10879,4,5,1,1
10880,5,5,5,5
10881,4,4,1,1
10882,3,2,1,4
10883,2,2,1,3
10884,5,5,5,2
10885,4,2,1,4
10886,4,2,4,1
10887,3,4,1,2
10888,4,2,1,1
10889,4,5,1,2
10890,4,5,5,5
10891,2,4,1,5
10892,1,3,1,4
10893,4,1,1,4
10894,4,5,2,5
10895,2,2,1,2
10896,2,2,1,1
10897,5,2,5,4
10898,3,2,1,5
10899,1,2,1,4
10900,5,5,5,1
10901,2,2,1,4
10902,4,5,1,1
10903,4,5,1,5
10904,4,2,1,4
10905,4,5,2,2
10906,4,5,2,5
10907,2,2,1,3
10908,4,5,1,1
10909,5,5,1,5
10910,4,5,2,1
10911,4,5,4,1
10912,2,2,1,2
10913,4,5,5,5
10914,4,4,1,3
10915,2,2,1,2
10916,4,5,1,1
10917,4,5,1,5
10918,4,3,4,1
10919,1,2,1,3
10920,4,4,1,1
10921,4,5,2,2
10922,5,5,5,1
10923,3,3,4,1
10924,4,2,4,5
10925,4,5,2,2
10926,4,5,5,5
10927,1,1,1,1
10928,4,5,2,1
10929,4,5,1,5
10930,2,4,1,4
10931,3,3,2,4
10932,4,5,5,1
10933,2,2,2,1
10934,3,3,2,4
10935,4,5,2,5
10936,2,3,1,3
10937,4,5,2,1
10938,4,5,2,4
10939,4,5,2,5
10940,4,4,2,1
10941,3,3,3,4
10942,2,2,1,1
10943,1,2,1,3
10944,3,3,4,1
10945,4,5,1,4
10946,5,5,5,2
10947,5,5,5,1
10948,4,5,1,2
10949,1,1,1,1
10950,2,2,1,1
10951,1,2,1,4
10952,2,3,1,4
10953,4,2,4,5
10954,4,4,1,5
10955,2,2,4,3
10956,4,5,4,4
10957,2,1,1,3
10958,2,3,1,1
10959,5,5,5,1
10960,2,2,1,2
10961,3,2,1,3
10962,4,5,4,1
10963,4,5,4,5
10964,3,5,4,1
10965,2,5,2,4
10966,2,3,1,3
10967,5,5,1,2
10968,4,5,2,4
10969,3,2,1,1
10970,2,1,1,2
10971,4,5,5,1
10972,5,5,5,2
10973,4,5,5,5
10974,3,3,4,5
10975,2,2,1,4
10976,1,1,1,4
10977,4,5,4,5
10978,4,5,1,2
10979,4,5,1,1
10980,4,5,5,4
10981,4,2,1,5
10982,4,5,1,4
10983,5,5,5,1
10984,1,2,1,4
10985,4,5,2,1
10986,3,5,1,5
10987,4,5,1,4
10988,5,5,5,2
10989,1,3,1,5
10990,4,2,2,3
10991,4,5,1,1
10992,5,5,2,5
10993,2,1,1,1
10994,1,2,1,1
10995,4,5,1,2
10996,4,1,1,5
10997,4,5,5,3
10998,2,2,1,2
10999,1,2,1,1
11000,4,5,2,5
11001,4,5,2,1
11002,2,4,1,3
11003,5,5,5,1
11004,5,5,5,2
11005,3,5,4,1
11006,2,2,1,1
11007,4,2,5,5
11008,4,5,1,2
11009,4,5,4,5
11010,4,5,2,1
11011,3,5,3,1
11012,4,2,1,5
11013,4,5,5,4
11014,4,5,1,4
11015,1,2,1,1
11016,3,2,2,1
11017,1,2,1,4
11018,4,5,5,5
11019,4,5,1,3
11020,1,4,1,1
11021,2,2,1,4
11022,2,2,1,5
11023,2,2,1,1
11024,4,5,2,4
11025,4,3,2,1
11026,3,5,2,3
11027,4,5,2,1
11028,4,1,4,4
11029,2,1,1,2
11030,4,5,2,1
11031,3,4,1,2
11032,4,5,5,1
11033,4,4,2,1
11034,3,2,4,4
11035,2,3,4,4
11036,4,5,2,5
11037,4,5,1,5
11038,4,5,4,3
11039,4,5,1,4
11040,2,2,1,3
11041,4,5,5,1
11042,3,2,2,1
11043,4,5,5,2
11044,2,2,1,3
11045,5,5,5,1
11046,5,5,5,5
11047,2,3,3,1
11048,3,3,2,4
11049,1,3,1,3
11050,2,2,1,2
11051,2,2,1,4
11052,4,1,5,1
11053,4,5,5,2
11054,1,1,1,1
11055,4,4,2,2
11056,5,5,5,5
11057,4,5,4,5
11058,4,5,5,4
11059,4,2,1,4
11060,5,5,5,5
11061,4,5,5,2
11062,4,5,5,1
11063,4,5,2,4
11064,2,2,1,5
11065,1,2,1,4
11066,2,2,1,1
11067,4,5,5,4
11068,2,2,1,1
11069,4,5,1,5
11070,3,2,2,4
11071,5,5,5,2
11072,4,5,5,5
11073,4,5,4,3
11074,5,5,5,1
11075,2,2,2,5
11076,1,2,1,1
11077,4,5,5,1
11078,1,2,1,2
11079,4,5,2,5
11080,5,5,5,3
11081,2,4,1,2
11082,4,5,4,1
11083,4,5,4,5
11084,2,1,1,1
11085,4,5,1,3
11086,3,2,2,1
11087,3,3,4,2
11088,4,5,1,1
11089,5,5,5,1
11090,4,5,1,5
11091,3,5,4,2
11092,1,2,1,5
11093,2,2,1,1
11094,4,2,2,1
11095,3,2,1,5
11096,5,5,5,4
11097,1,2,1,4
11098,4,5,2,1
11099,1,2,1,1
11100,2,4,1,4
11101,3,2,1,5
11102,2,2,1,3
11103,4,5,4,1
11104,2,4,1,4
11105,2,4,2,5
11106,5,5,5,1
11107,2,3,1,4
11108,2,2,1,1
11109,5,5,4,3
11110,4,5,2,1
11111,2,2,1,4
11112,5,5,5,2
11113,1,1,1,1
11114,4,5,2,2
11115,2,2,1,1
11116,5,5,5,1
11117,2,1,1,4
11118,4,5,5,4
11119,4,5,2,5
11120,1,2,1,5
11121,1,2,1,3
11122,2,2,1,4
11123,5,5,5,3
11124,5,5,5,1
11125,5,5,5,1
11126,2,1,1,2
11127,4,4,1,3
11128,4,5,5,1
11129,4,5,2,5
11130,3,5,4,1
11131,3,4,4,4
11132,3,3,2,3
11133,4,5,2,2
11134,4,4,4,4
11135,3,4,2,1
11136,1,1,1,2
11137,1,1,1,1
11138,4,5,2,2
11139,2,2,1,5
11140,2,2,1,5
11141,5,5,5,4
11142,4,5,5,4
11143,3,3,1,5
11144,4,2,1,2
11145,2,2,1,1
11146,3,3,2,4
11147,3,2,1,5
11148,3,3,4,4
11149,2,3,2,1
11150,5,5,4,4
11151,4,5,1,1
11152,5,5,5,5
11153,3,5,5,4
11154,4,5,1,2
11155,4,4,5,5
11156,1,2,1,3
11157,1,2,1,1
11158,2,2,1,5
11159,5,5,5,1
11160,4,5,2,1
11161,4,5,4,2
11162,3,1,1,5
11163,2,2,1,3
11164,4,4,4,2
11165,4,3,1,1
11166,2,5,2,5
11167,1,2,1,1
11168,2,1,1,3
11169,4,5,1,1
11170,4,5,4,2
11171,2,2,2,1
11172,5,5,5,1
11173,1,3,1,5
11174,2,2,1,2
11175,1,2,1,5
11176,2,2,1,1
11177,5,5,5,1
11178,4,3,1,5
11179,3,2,1,4
11180,5,5,5,4
11181,4,4,5,1
11182,4,5,1,1
11183,4,5,4,4
11184,5,5,5,5
11185,4,5,2,3
11186,2,1,1,1
11187,4,5,2,4
11188,3,5,2,5
11189,3,5,2,1
11190,3,3,1,4
11191,2,2,5,1
11192,3,1,5,3
11193,3,2,5,1
11194,3,4,1,4
11195,2,3,3,2
11196,4,5,1,1
11197,4,4,5,2
11198,5,5,5,1
11199,3,2,5,1
11200,4,5,5,4
11201,4,4,1,4
11202,4,5,1,5
11203,2,2,1,5
11204,4,4,4,3
11205,2,2,1,4
11206,5,5,5,3
11207,4,5,1,1
11208,4,5,1,1
11209,2,2,1,2
11210,4,3,4,3
11211,4,3,1,1
11212,4,3,1,5
11213,2,1,1,1
11214,4,5,4,4
11215,4,5,2,3
11216,4,5,5,2
11217,4,5,2,4
11218,4,5,5,1
11219,4,4,2,2
11220,2,3,1,1
11221,4,5,5,2
11222,4,5,2,5
11223,2,2,1,5
11224,4,3,4,4
11225,2,3,1,4
11226,2,2,1,5
11227,5,5,5,2
11228,4,5,5,1
11229,2,1,1,4
11230,2,3,1,5
11231,2,2,2,4
11232,4,4,5,1
11233,4,5,1,4
11234,2,2,1,1
11235,4,2,1,5
11236,2,1,1,4
11237,2,1,1,2
11238,2,2,1,5
11239,3,3,5,3
11240,4,5,2,1
11241,4,5,1,5
11242,4,4,5,1
11243,4,3,4,1
11244,5,5,5,2
11245,4,4,5,5
11246,5,5,5,3
11247,2,3,4,2
11248,2,3,1,1
11249,4,5,1,5
11250,4,5,5,1
11251,4,5,4,3
11252,2,2,1,1
11253,3,5,1,2
11254,4,5,5,1
11255,2,2,1,1
11256,5,5,5,5
11257,5,5,4,2
11258,2,2,4,5
11259,5,5,5,1
11260,4,5,1,1
11261,4,5,1,5
11262,5,5,5,4
11263,4,5,1,4
11264,3,4,4,1
11265,5,5,4,1
11266,4,2,1,4
11267,5,5,5,5
11268,1,2,1,3
